File,Author,ChurnSize
components/camel-jxpath,Hadrian Zbarcea,1814.0
components/camel-kestrel,Hadrian Zbarcea,1814.0
components/camel-krati,Hadrian Zbarcea,1814.0
components/camel-krati/src/main/java/org/apache/camel/component/krati/processor/idempotent,Hadrian Zbarcea,
components/camel-ldap,Hadrian Zbarcea,1814.0
components/camel-ldap/src/main/java/org/apache/camel/component/ldap,Hadrian Zbarcea,
components/camel-ldap/src/test/java/org/apache/camel/component/ldap,Hadrian Zbarcea,
components/camel-leveldb,Hadrian Zbarcea,1814.0
components/camel-leveldb/src/test/java/org/apache/camel/component/leveldb,Hadrian Zbarcea,
components/camel-lucene,Hadrian Zbarcea,1814.0
components/camel-lucene/src/main/java/org/apache/camel/component/lucene,Hadrian Zbarcea,
components/camel-lucene/src/main/java/org/apache/camel/processor/lucene/support,Hadrian Zbarcea,34.0
components/camel-lucene/src/test/java/org/apache/camel/component/lucene,Hadrian Zbarcea,
components/camel-lucene/src/test/java/org/apache/camel/processor/lucene,Hadrian Zbarcea,
components/camel-mail,Hadrian Zbarcea,1814.0
components/camel-mail/src/main/java/org/apache/camel/component/mail,Hadrian Zbarcea,
components/camel-mail/src/test/java/org/apache/camel/component/mail,Hadrian Zbarcea,
components/camel-mail/src/test/java/org/apache/camel/component/mail/security,Hadrian Zbarcea,
components/camel-mail/src/test/resources/jsse,Hadrian Zbarcea,
components/camel-mina,Hadrian Zbarcea,1814.0
components/camel-mina/src/main/java/org/apache/camel/component/mina,Hadrian Zbarcea,
components/camel-mina/src/test/java/org/apache/camel/component/mina,Hadrian Zbarcea,
components/camel-mina2,Hadrian Zbarcea,1814.0
components/camel-mina2/src/main/java/org/apache/camel/component/mina2,Hadrian Zbarcea,
components/camel-mina2/src/test/java/org/apache/camel/component/mina2,Hadrian Zbarcea,
components/camel-mina2/src/test/resources/jsse,Hadrian Zbarcea,
components/camel-mongodb,Hadrian Zbarcea,1814.0
components/camel-mongodb/src/test/java/org/apache/camel/component/mongodb,Hadrian Zbarcea,
components/camel-mqtt,Hadrian Zbarcea,1814.0
components/camel-mqtt/src/main/java/org/apache/camel/component/mqtt,Hadrian Zbarcea,21.0
components/camel-mqtt/src/test/java/org/apache/camel/component/mqtt,Hadrian Zbarcea,21.0
components/camel-msv,Hadrian Zbarcea,1814.0
components/camel-mvel,Hadrian Zbarcea,1814.0
components/camel-mybatis,Hadrian Zbarcea,1814.0
components/camel-mybatis/src/main/java/org/apache/camel/component/mybatis,Hadrian Zbarcea,
components/camel-mybatis/src/test/java/org/apache/camel/component/mybatis,Hadrian Zbarcea,
components/camel-mybatis/src/test/resources,Hadrian Zbarcea,
components/camel-mybatis/src/test/resources/org/apache/camel/component/mybatis,Hadrian Zbarcea,
components/camel-nagios,Hadrian Zbarcea,1814.0
components/camel-netty,Hadrian Zbarcea,1814.0
components/camel-netty/src/main/java/org/apache/camel/component/netty,Hadrian Zbarcea,
components/camel-netty/src/main/java/org/apache/camel/component/netty/handlers,Hadrian Zbarcea,
components/camel-netty/src/test/java/org/apache/camel/component/netty,Hadrian Zbarcea,
components/camel-netty/src/test/resources,Hadrian Zbarcea,
components/camel-netty/src/test/resources/org/apache/camel/component/netty,Hadrian Zbarcea,
components/camel-ognl,Hadrian Zbarcea,1814.0
components/camel-paxlogging,Hadrian Zbarcea,1814.0
components/camel-printer,Hadrian Zbarcea,1814.0
components/camel-printer/src/main/java/org/apache/camel/component/printer,Hadrian Zbarcea,
components/camel-printer/src/test/java/org/apache/camel/component/printer,Hadrian Zbarcea,
components/camel-protobuf,Hadrian Zbarcea,1814.0
components/camel-quartz,Hadrian Zbarcea,3319.0
components/camel-quartz/src/main/java/org/apache/camel/component/quartz,Hadrian Zbarcea,
components/camel-quartz/src/main/java/org/apache/camel/routepolicy/quartz,Hadrian Zbarcea,
components/camel-quartz/src/test/java/org/apache/camel/component/quartz,Hadrian Zbarcea,11.0
components/camel-quartz/src/test/java/org/apache/camel/routepolicy/quartz,Hadrian Zbarcea,
components/camel-quartz/src/test/resources/org/apache/camel/component/quartz,Hadrian Zbarcea,
components/camel-quickfix,Hadrian Zbarcea,1814.0
components/camel-quickfix/src/main/java/org/apache/camel/component/quickfixj,Hadrian Zbarcea,
components/camel-quickfix/src/main/java/org/apache/camel/component/quickfixj/converter,Hadrian Zbarcea,
components/camel-quickfix/src/test/java/org/apache/camel/component/quickfixj,Hadrian Zbarcea,
